"Ireland","4526"
"Iceland","3852"
"UK","3597"
"Denmark","6042"
"Sweden","4031"
"Norway","4567"
"Finland","3688"
"Russia","2738"
"Estonia","2552"
"Latvia","2709"
"Lituania","3076"
"Bielorus","2414"
"Ukraine","1351"
"Moldavia","1602"
"Georgia","2581"
"Armenia","1536"
"Azerbaidjan","1480"
"Cyprus","3430"
"Turkey","1291"
"France","4091"
"Spain","3459"
"Portugal","2440"
"Andorra","3854"
"San Marino","3810"
"Italy","3307"
"Croatia","3224"
"Slovenia","2900"
"Austria","5223"
"Switzerland","5688"
"Luxembourg","4923"
"Belgium","3700"
"Germany","4426"
"Netherlands","4897"
"Poland","3434"
"Czech Republic","3167"
"Slovakia","2312"
"Greece","2072"
"Bulgaria","2505"
"Romania","2703"
"Hungary","2628"
"Bosnia","2364"
"Montenegro","2663"
"Kosovo","1446"
"Serbia","2753"
"North Macedonia","2336"
"Albania","1586"
"Malta","2691"
"Kazakhstan","2102"
